	sequences per sample	iteration	SAMPLE_112474	SAMPLE_112475	SAMPLE_112476	SAMPLE_112477	SAMPLE_112478	SAMPLE_112479	SAMPLE_112480	SAMPLE_112481	SAMPLE_112482	SAMPLE_112483	SAMPLE_112484	SAMPLE_112485	SAMPLE_112486	SAMPLE_112487	SAMPLE_112488	SAMPLE_112489	SAMPLE_112490	SAMPLE_112491	SAMPLE_112492	SAMPLE_112493	SAMPLE_112494	SAMPLE_112495	SAMPLE_112496	SAMPLE_112497	SAMPLE_112498	SAMPLE_112499	SAMPLE_112500	SAMPLE_112501	SAMPLE_112502	SAMPLE_112503	SAMPLE_112504	SAMPLE_112505	SAMPLE_112506	SAMPLE_112507	SAMPLE_112508	SAMPLE_112509	SAMPLE_112510	SAMPLE_112511	SAMPLE_112512	SAMPLE_112513	SAMPLE_112514	SAMPLE_112515	SAMPLE_112516	SAMPLE_112518	SAMPLE_112519	SAMPLE_112520	SAMPLE_112521	SAMPLE_112522	SAMPLE_112523	SAMPLE_112524	SAMPLE_112525	SAMPLE_112526	SAMPLE_112527	SAMPLE_112528	SAMPLE_112529	SAMPLE_112530	SAMPLE_112531	SAMPLE_112532	SAMPLE_112533	SAMPLE_112534	SAMPLE_112535	SAMPLE_112536	SAMPLE_112537	SAMPLE_112538
alpha_rarefaction_109_0.txt	109	0	172.1	152.769230769	190.545454545	205.666666667	193.5	184.833333333	201.333333333	159.857142857	135.769230769	183.111111111	188.333333333	276.2	255.0	158.0	160.333333333	154.0	219.090909091	89.0	188.5	136.0	135.111111111	156.769230769	128.0	173.875	88.4285714286	135.769230769	85.6	125.076923077	197.75	146.1	108.666666667	143.090909091	82.0	131.1	46.0769230769	106.666666667	75.3333333333	63.4285714286	171.5	142.625	80.1666666667	113.333333333	78.4285714286	64.0	57.6666666667	105.125	71.0909090909	47.0	68.6666666667	115.0	69.0769230769	172.0	160.0	112.0	201.5	49.4285714286	90.5454545455	103.0	132.545454545	204.5	85.0	99.8	61.6	86.25
alpha_rarefaction_109_1.txt	109	1	395.5	165.714285714	290.0	277.5	660.0	213.1	168.428571429	174.142857143	176.25	276.5	362.0	285.875	160.272727273	189.375	165.714285714	424.75	243.111111111	120.428571429	164.0	95.0714285714	138.25	146.214285714	90.5	175.142857143	86.875	131.461538462	89.5	116.166666667	99.6	137.25	70.6	190.375	66.3	108.125	90.0	97.25	111.428571429	42.8	125.428571429	101.111111111	70.6	116.0	43.0	81.2307692308	45.9090909091	71.625	65.0	43.2	87.25	76.5	63.1428571429	110.75	167.076923077	64.1	111.583333333	47.1428571429	96.75	96.6666666667	185.0	82.9090909091	103.111111111	111.0	51.4285714286	79.625
alpha_rarefaction_109_2.txt	109	2	150.166666667	231.545454545	286.111111111	150.3	200.111111111	143.214285714	265.1	135.25	146.142857143	297.0	122.363636364	130.75	138.0	204.0	134.75	168.5	147.5625	80.8571428571	119.583333333	107.1	149.111111111	149.4	130.142857143	167.625	67.0	171.0	73.5454545455	103.6	141.666666667	79.5	140.5	241.166666667	65.6666666667	110.0	71.0	71.5	137.0	52.3636363636	152.6	77.2307692308	51.0	75.0	50.0	77.1428571429	46.125	82.0	46.5	88.6	95.5	99.0	156.6	167.625	223.111111111	212.666666667	93.0	55.25	64.0	87.6	232.0	106.1	162.0	73.0	56.3333333333	71.5
alpha_rarefaction_109_3.txt	109	3	136.25	268.090909091	170.4	108.076923077	246.142857143	160.0	256.666666667	126.0	182.75	195.666666667	150.0	175.8	122.428571429	172.0	227.0	226.375	208.666666667	85.6	108.571428571	106.125	157.6	154.0	98.6	128.909090909	167.166666667	178.25	72.2727272727	186.75	107.230769231	128.666666667	87.875	116.666666667	69.0769230769	85.3636363636	59.0	69.5454545455	57.5714285714	64.5	125.0	101.125	85.875	62.0	66.6666666667	59.5	66.1428571429	74.1428571429	54.6	66.6	87.0	61.0	93.3333333333	303.0	167.5	80.4285714286	140.2	55.3333333333	167.0	151.75	140.0	90.25	97.6666666667	98.0	415.0	131.0
alpha_rarefaction_109_4.txt	109	4	145.5	227.0	196.272727273	200.111111111	131.1	209.75	224.0	158.857142857	142.1	271.3	166.428571429	328.2	142.625	245.875	221.125	172.0	242.75	47.0	195.142857143	120.125	298.0	135.571428571	119.6	120.0	77.9090909091	160.0	74.5454545455	208.0	106.8	116.545454545	92.0	234.0	122.5	107.125	40.25	167.0	47.5714285714	73.0	134.333333333	75.9090909091	79.5	86.6	37.6	47.5454545455	71.2	63.75	92.6	62.0	58.8333333333	177.0	70.0909090909	96.6666666667	270.5	86.4285714286	175.0	58.5	92.25	114.5	113.666666667	135.0	120.428571429	102.111111111	63.0	113.5
alpha_rarefaction_109_5.txt	109	5	177.0	209.75	225.5	314.428571429	182.909090909	216.090909091	185.833333333	146.111111111	86.4285714286	225.375	138.875	195.125	114.545454545	117.909090909	128.5	182.111111111	261.272727273	110.333333333	105.9375	161.857142857	264.857142857	293.0	99.0	179.25	110.428571429	155.083333333	113.666666667	127.363636364	80.8333333333	119.0	90.5	196.272727273	87.875	138.0	101.25	70.5	78.5	58.0	106.666666667	117.125	63.75	75.1428571429	48.3636363636	65.1	84.1666666667	157.857142857	74.5454545455	62.4285714286	93.1111111111	97.6	82.625	206.0	210.5	111.428571429	94.0	57.4285714286	85.9090909091	122.2	170.875	138.875	148.166666667	150.6	185.0	112.857142857
alpha_rarefaction_109_6.txt	109	6	174.909090909	156.461538462	181.071428571	179.5	225.0	146.090909091	217.333333333	263.0	231.0	304.5	148.3	128.333333333	133.0	116.0	96.0	148.0	495.166666667	79.0	118.714285714	161.2	183.75	186.909090909	97.75	154.5	109.0	222.375	108.142857143	162.333333333	148.625	173.0	84.6	147.5	77.0769230769	125.6	82.5	109.2	88.0	76.6666666667	127.1	282.333333333	47.125	96.0909090909	78.5	57.4285714286	54.6666666667	62.1	126.5	39.875	114.666666667	90.25	71.875	161.071428571	109.230769231	77.0	69.5	53.0	87.25	85.5454545455	170.875	129.111111111	88.875	123.5	73.3333333333	61.2307692308
alpha_rarefaction_109_7.txt	109	7	212.1	161.230769231	182.076923077	168.875	147.142857143	212.1	163.4375	226.2	188.375	326.857142857	177.25	231.75	169.875	269.428571429	213.0	204.111111111	184.833333333	111.0	199.125	216.5	129.230769231	148.4	92.6153846154	224.142857143	70.2727272727	177.0	103.125	179.8	82.8333333333	93.3333333333	104.111111111	128.909090909	57.5	122.6	50.3636363636	125.142857143	66.0	55.1	116.909090909	98.8	84.8571428571	64.6666666667	50.3	93.0	46.6666666667	90.25	67.3333333333	80.1428571429	116.333333333	97.3333333333	55.125	213.75	190.0	81.625	92.1666666667	57.0	63.7692307692	129.111111111	200.5	85.875	129.75	71.0	85.5	230.25
alpha_rarefaction_109_8.txt	109	8	140.0	344.142857143	187.2	192.666666667	262.5	193.071428571	202.153846154	144.2	231.75	181.4	124.3	154.6	155.0	126.5	173.142857143	170.428571429	243.1	114.857142857	191.333333333	100.375	190.333333333	202.6	167.0	107.461538462	72.625	124.363636364	68.0909090909	208.0	95.5	118.5	129.0	186.0	186.25	103.75	78.4285714286	92.1666666667	75.0	39.3333333333	187.666666667	61.0833333333	59.4285714286	67.6	50.5454545455	60.0	57.125	90.3333333333	61.5	101.25	55.1538461538	72.0833333333	56.2727272727	165.272727273	234.75	167.0	165.166666667	63.6666666667	65.0	103.125	106.1	122.375	101.8	64.0	49.0	114.5
alpha_rarefaction_109_9.txt	109	9	162.625	145.2	208.615384615	126.230769231	169.875	235.909090909	232.583333333	100.0	117.0	180.363636364	169.875	167.5	159.857142857	135.25	246.875	170.545454545	178.0	146.166666667	200.125	77.3333333333	173.909090909	187.6	113.333333333	191.25	135.0	218.125	65.2352941176	121.571428571	114.5	94.1111111111	103.0	168.111111111	143.5	162.5	43.6666666667	153.0	95.1428571429	90.5	103.090909091	122.909090909	59.0	90.0	59.4285714286	55.6153846154	36.0	117.5	72.0	48.3333333333	77.3333333333	107.0	75.0	118.583333333	181.25	138.0	139.2	78.5	81.5	311.0	912.0	106.1	82.625	77.4285714286	50.0	73.1428571429
alpha_rarefaction_208_0.txt	208	0	208.473684211	337.555555556	369.833333333	213.9	327.666666667	230.772727273	313.4	172.866666667	230.0	348.5	198.0	214.333333333	270.0	302.153846154	371.1	229.25	338.125	127.0	220.428571429	292.142857143	237.166666667	291.647058824	239.5	203.2	129.5	163.55	90.25	224.352941176	169.461538462	128.583333333	208.125	237.666666667	121.5	166.0	92.8571428571	164.5	118.571428571	63.0588235294	253.363636364	150.615384615	96.6	135.076923077	56.0	92.1	95.0	130.571428571	80.25	61.0	87.3333333333	146.25	75.1	165.807692308	362.8	135.375	155.25	54.0	150.0	203.666666667	230.090909091	137.230769231	151.153846154	118.214285714	172.0	107.0
alpha_rarefaction_208_1.txt	208	1	196.666666667	290.3	370.3125	256.3125	206.25	262.391304348	301.130434783	185.75	209.894736842	516.363636364	255.3125	239.375	235.272727273	330.4	211.882352941	219.368421053	260.055555556	144.333333333	219.588235294	143.666666667	252.352941176	277.230769231	175.230769231	210.071428571	176.111111111	188.8	102.166666667	303.25	185.0	248.583333333	159.0	199.916666667	132.428571429	133.555555556	75.875	146.833333333	102.333333333	76.3	175.217391304	194.6	138.142857143	81.0833333333	63.1	88.5	70.3333333333	144.0	107.333333333	88.5	113.583333333	166.428571429	120.1	339.0	207.235294118	123.111111111	290.6	206.5	121.5	198.375	197.625	191.0	205.75	194.111111111	99.3333333333	175.0
alpha_rarefaction_208_2.txt	208	2	257.0	250.157894737	268.954545455	262.75	257.714285714	233.333333333	243.0	168.461538462	229.142857143	377.0	207.9	312.0	183.214285714	305.2	286.3	195.333333333	316.0	157.3	185.428571429	202.666666667	245.4	257.0	169.4	185.588235294	113.0	214.588235294	110.0	167.666666667	206.5	115.4	177.625	234.105263158	98.0	130.714285714	54.75	160.428571429	191.6	48.0	210.428571429	133.875	68.1538461538	282.25	65.0	81.2727272727	89.1666666667	114.9375	77.5	75.6666666667	89.0714285714	124.583333333	96.0714285714	287.875	272.545454545	211.5	192.333333333	81.5	102.615384615	201.272727273	266.666666667	118.583333333	181.909090909	183.25	120.5	154.1
alpha_rarefaction_208_3.txt	208	3	228.153846154	279.0	338.058823529	217.130434783	280.25	347.4	251.84	138.5	160.25	370.769230769	329.6	174.65	222.071428571	288.0	229.176470588	267.666666667	256.055555556	124.571428571	200.0	129.4375	222.066666667	221.9	129.105263158	191.75	132.5	238.375	214.111111111	181.0	142.588235294	164.875	163.5	225.714285714	132.0	120.055555556	70.7142857143	98.6153846154	94.8	106.0	181.25	144.714285714	79.1111111111	127.0	92.0	74.5263157895	81.5	127.4	88.4	106.6	78.0	147.153846154	78.2307692308	246.055555556	346.111111111	132.0	184.6	96.3333333333	122.214285714	233.0	203.75	171.076923077	124.0	235.142857143	79.5	162.333333333
alpha_rarefaction_208_4.txt	208	4	195.666666667	380.0	222.5	243.0	214.5	276.0	272.037037037	295.25	191.3125	345.4375	360.333333333	283.833333333	257.909090909	346.214285714	191.0	380.0	409.0	185.363636364	328.8	189.076923077	239.1875	302.882352941	138.5	154.217391304	153.615384615	244.571428571	117.230769231	206.25	207.5	144.111111111	157.625	165.545454545	116.230769231	131.666666667	62.75	144.066666667	81.6666666667	60.3	256.909090909	212.8	112.8	97.6	71.6666666667	95.0	59.3333333333	177.0	75.5714285714	77.0	85.8947368421	118.157894737	95.9090909091	262.15	427.111111111	124.111111111	126.0	91.5	158.1	163.0	238.5	154.5	130.5	103.4	76.0	147.615384615
alpha_rarefaction_208_5.txt	208	5	262.0	330.0	260.636363636	217.3	240.545454545	265.272727273	220.387096774	173.352941176	278.461538462	415.230769231	150.473684211	121.555555556	171.476190476	266.235294118	450.875	244.058823529	290.3	155.25	221.111111111	191.111111111	261.0	250.230769231	167.769230769	154.5	148.0	209.285714286	140.75	194.666666667	163.571428571	117.0	162.083333333	277.0	93.8333333333	152.714285714	95.5	146.875	116.461538462	86.5	332.5	154.1	90.8	152.090909091	56.5714285714	66.2142857143	47.0909090909	100.153846154	79.0	78.0	82.6470588235	330.0	150.25	227.473684211	249.583333333	190.0	138.0	81.5	148.25	286.6	359.8	165.0	234.0	184.25	74.0	151.1
alpha_rarefaction_208_6.txt	208	6	291.0	222.551724138	306.894736842	280.571428571	198.5	354.076923077	265.391304348	169.4	240.4	294.6875	245.214285714	305.090909091	193.9375	238.0	223.2	236.1875	437.545454545	195.666666667	202.8	221.0	185.25	256.157894737	232.111111111	232.5	150.0	260.0	124.0	211.0	197.909090909	200.461538462	132.363636364	211.555555556	96.2	104.428571429	68.0	186.75	149.25	52.1	136.066666667	142.769230769	79.2	93.4615384615	69.0909090909	68.8333333333	70.25	102.714285714	83.1	75.3	140.375	90.2307692308	118.8	196.65	349.545454545	95.2727272727	190.545454545	134.5	143.0	142.0	175.588235294	194.0	209.111111111	133.363636364	129.75	125.5
alpha_rarefaction_208_7.txt	208	7	241.526315789	374.2	261.714285714	329.076923077	299.5	243.4	293.260869565	239.5	207.214285714	233.0625	319.230769231	219.0	303.25	353.25	193.076923077	305.25	337.125	130.2	213.0	190.909090909	223.894736842	243.1875	135.125	202.055555556	123.789473684	218.615384615	119.4	165.5625	146.588235294	130.545454545	134.3	189.666666667	103.1875	127.315789474	69.2727272727	90.7692307692	88.25	118.142857143	164.125	171.0	60.1111111111	100.714285714	69.0833333333	82.0714285714	53.6666666667	155.090909091	82.0	79.6666666667	72.5	124.0	137.909090909	296.0	174.2	137.75	139.25	74.3333333333	111.5	201.75	221.75	286.625	156.555555556	156.0	249.0	134.571428571
alpha_rarefaction_208_8.txt	208	8	187.055555556	209.545454545	309.352941176	274.833333333	296.75	263.391304348	332.714285714	178.5	239.058823529	385.615384615	200.5	181.0	154.55	229.333333333	193.666666667	229.2	287.0	217.0	169.875	181.0	292.153846154	205.5	180.882352941	251.076923077	239.2	205.235294118	125.0	197.071428571	145.769230769	177.111111111	142.0	215.043478261	123.75	146.333333333	83.5	289.6	123.1	79.0	215.066666667	156.0	102.111111111	153.875	90.5	80.0909090909	56.1666666667	88.0769230769	83.3	64.5454545455	78.4	147.0	82.2727272727	331.083333333	221.0	155.625	173.0	84.0	146.714285714	135.333333333	228.583333333	135.230769231	261.625	125.714285714	115.0	142.928571429
alpha_rarefaction_208_9.txt	208	9	247.076923077	285.526315789	240.125	248.176470588	283.571428571	221.166666667	317.8	161.666666667	272.0	347.8125	196.047619048	227.0	214.428571429	383.428571429	224.833333333	274.5	459.230769231	129.5	313.5	140.909090909	183.285714286	216.0	98.0454545455	189.882352941	191.6	241.0	116.588235294	210.071428571	119.333333333	227.0	203.666666667	279.461538462	111.769230769	144.333333333	61.0	127.076923077	99.7692307692	80.0	197.0	86.2173913043	91.3529411765	139.142857143	69.0909090909	118.125	66.6666666667	146.25	98.9090909091	94.625	118.214285714	156.571428571	111.6	369.333333333	297.5	174.428571429	260.0	68.2	126.714285714	228.142857143	190.3125	153.55	155.214285714	110.047619048	61.1111111111	153.0
alpha_rarefaction_307_0.txt	307	0	296.15	293.5	480.730769231	254.956521739	311.0	289.037037037	429.434782609	239.619047619	252.4	295.5	286.2	209.65	213.25	255.615384615	254.0	243.714285714	294.64	148.5625	262.0	208.066666667	228.636363636	282.391304348	363.272727273	329.058823529	147.0	302.235294118	176.6	189.666666667	207.260869565	281.111111111	127.235294118	375.882352941	109.714285714	208.666666667	86.0	111.176470588	142.0	99.5	307.5625	260.363636364	120.0	180.5	88.0	83.0	96.1	218.6	121.6	98.9090909091	129.230769231	145.5	91.2142857143	329.272727273	227.24	152.5	230.090909091	133.375	139.4375	284.571428571	363.588235294	249.4	209.055555556	245.230769231	89.5	164.6875
alpha_rarefaction_307_1.txt	307	1	289.05	288.941176471	336.964285714	341.875	267.0	332.041666667	337.964285714	205.916666667	275.75	358.416666667	217.275862069	263.045454545	213.0	275.0	250.916666667	264.214285714	356.222222222	194.75	289.833333333	194.75	253.05	214.275862069	196.333333333	242.25	137.0	262.5	114.5	336.0	183.956521739	182.176470588	125.75	266.84	96.1875	158.714285714	103.75	102.2	136.75	71.0	290.571428571	137.473684211	106.0	167.3	100.0	76.8333333333	74.5	166.5625	96.3125	80.6666666667	124.882352941	167.526315789	158.875	384.235294118	313.0	142.0	194.076923077	112.666666667	134.75	228.176470588	260.055555556	209.285714286	231.153846154	170.6875	97.3333333333	240.461538462
alpha_rarefaction_307_2.txt	307	2	378.0	307.2	363.965517241	354.5	354.25	247.636363636	349.387096774	322.5625	336.105263158	376.0	311.75	292.526315789	249.058823529	333.130434783	313.142857143	325.176470588	357.315789474	195.076923077	388.647058824	150.894736842	210.230769231	218.636363636	214.375	241.25	155.25	224.107142857	124.769230769	179.6875	241.142857143	244.111111111	154.473684211	257.142857143	138.5	191.0	105.153846154	212.090909091	167.0	115.75	186.0	169.25	83.3	276.0	109.75	74.55	77.5	134.166666667	96.8823529412	79.0	137.571428571	153.714285714	124.866666667	275.391304348	287.142857143	162.0	258.909090909	67.25	170.153846154	181.555555556	359.588235294	401.428571429	346.909090909	161.058823529	127.0	178.0
alpha_rarefaction_307_3.txt	307	3	299.045454545	378.6	308.888888889	319.0	303.105263158	334.272727273	302.037037037	327.055555556	292.555555556	269.307692308	288.047619048	284.157894737	296.235294118	311.588235294	419.2	231.555555556	271.37037037	174.4	241.625	209.5	293.166666667	291.681818182	268.714285714	218.043478261	135.0	336.681818182	188.0	207.260869565	221.1875	152.5	187.545454545	338.333333333	119.769230769	226.166666667	91.0	177.5	116.666666667	79.5	241.916666667	124.882352941	114.0	129.076923077	66.0	103.625	65.4615384615	163.615384615	79.0588235294	120.0	154.111111111	120.05	129.75	276.555555556	259.565217391	150.928571429	223.0	147.0	160.545454545	188.25	224.130434783	171.315789474	163.142857143	169.157894737	81.5454545455	176.714285714
alpha_rarefaction_307_4.txt	307	4	224.24	325.689655172	421.0	292.166666667	264.111111111	336.576923077	375.115384615	236.058823529	280.555555556	424.25	230.387096774	285.647058824	281.4375	340.041666667	304.3	308.0	449.625	150.0	307.0	209.25	238.965517241	206.551724138	149.130434783	290.4375	164.666666667	273.954545455	131.05	251.5	214.066666667	221.090909091	173.875	228.037037037	130.647058824	196.076923077	89.6666666667	142.882352941	137.0	98.1111111111	213.6	196.25	134.111111111	128.090909091	81.0	100.363636364	88.0	124.157894737	84.5	129.428571429	123.571428571	152.666666667	159.666666667	265.0	238.176470588	168.875	205.5	76.4285714286	103.555555556	177.772727273	282.4	214.473684211	199.3125	259.111111111	167.25	180.545454545
alpha_rarefaction_307_5.txt	307	5	296.136363636	309.8	271.96875	298.3	280.75	253.451612903	400.322580645	216.0	259.0	359.0	302.105263158	435.076923077	397.272727273	364.115384615	322.285714286	301.15	318.0	160.5	329.5	214.214285714	297.5	262.05	213.375	263.176470588	117.4	268.0	135.666666667	310.0	161.272727273	223.6	133.8125	261.730769231	185.111111111	222.473684211	93.5	161.3	112.615384615	76.0	214.625	179.65	97.0714285714	110.2	83.0	118.333333333	77.25	177.176470588	91.6666666667	98.1111111111	201.0	172.083333333	220.428571429	237.615384615	341.0	145.0	263.545454545	100.333333333	131.928571429	164.2	237.25	226.0	203.833333333	183.8125	98.5	155.636363636
alpha_rarefaction_307_6.txt	307	6	222.533333333	263.135135135	246.774193548	426.142857143	305.44	364.714285714	268.666666667	229.833333333	314.5	287.666666667	252.75	296.571428571	232.714285714	313.045454545	354.315789474	268.5	397.5	153.928571429	265.0	239.769230769	300.045454545	315.5	204.117647059	468.6	276.5	285.142857143	169.571428571	229.1875	199.0	202.5	151.461538462	239.541666667	152.461538462	236.714285714	102.0	189.8	135.666666667	123.0	177.8	139.555555556	202.2	212.6	139.375	116.0	77.25	168.875	105.461538462	71.875	120.769230769	136.117647059	137.909090909	297.64	373.75	200.0	266.666666667	113.0	131.5	217.368421053	278.0	162.058823529	204.0	142.272727273	127.428571429	148.714285714
alpha_rarefaction_307_7.txt	307	7	279.681818182	296.517241379	254.736842105	381.052631579	323.136363636	268.6	351.0	255.0	232.0	344.115384615	253.05	235.541666667	220.772727273	405.65	337.6875	268.869565217	300.0	133.555555556	222.473684211	233.153846154	299.0	251.04	253.571428571	286.8125	195.076923077	400.647058824	151.571428571	230.9	223.9	157.714285714	204.545454545	299.0	118.75	157.333333333	92.5	113.9375	183.625	124.0	295.789473684	167.526315789	139.0	126.4	68.1538461538	116.5	97.0	128.0	111.428571429	67.6	109.2	233.090909091	104.789473684	246.04	204.666666667	248.3	204.235294118	142.25	137.117647059	263.0	244.4	179.052631579	330.230769231	215.272727273	93.7692307692	201.0
