#OTUID	taxonomy	USEARCH	SINTAX	UTAX
15	AY461828;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae,g:Coprinopsis,s:Coprinopsis stercorea	AY461828;tax=k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae,g:Coprinopsis,s:Coprinopsis stercorea (99.0)	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae,g:Coprinopsis,s:Coprinopsis stercorea	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales
16	KU955584;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Arnium,s:Arnium arizonense	KU955584;tax=k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Arnium,s:Arnium arizonense (100.0)	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Arnium,s:Arnium arizonense	k:Fungi,p:Ascomycota,c:Sordariomycetes
17	UTAX;k:Fungi,p:Ascomycota	EU516666;tax=k:Fungi (91.4)	k:Fungi	k:Fungi,p:Ascomycota
18	FJ713091;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Microascales,f:Microascaceae,g:Scedosporium,s:Scedosporium prolificans	FJ713091;tax=k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Microascales,f:Microascaceae,g:Scedosporium,s:Scedosporium prolificans (99.0)	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Microascales,f:Microascaceae	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Microascales,f:Microascaceae
19	JX076982;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,g:Acremonium,s:Acremonium chrysogenum	JX076982;tax=k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,g:Acremonium,s:Acremonium chrysogenum (100.0)	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,g:Acremonium,s:Acremonium chrysogenum	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,g:Acremonium,s:Acremonium chrysogenum
20	UTAX;k:Fungi,p:Ascomycota	DQ901003;tax=k:Fungi (96.6)	k:Fungi	k:Fungi,p:Ascomycota
21	AF376769;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Podospora	AF376769;tax=k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Podospora (100.0)	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Podospora	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales
22	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes	JX076984;tax=k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Preussia,s:Preussia polymorpha (96.9)	k:Fungi,p:Ascomycota,c:Dothideomycetes	k:Fungi,p:Ascomycota,c:Dothideomycetes
24	SINTAX;k:Fungi	KT244836;tax=k:Fungi (88.1)	k:Fungi	k:Fungi
25	FJ160949;k:Fungi,p:Zygomycota,o:Mucorales,f:Pilobolaceae,g:Pilobolus,s:Pilobolus crystallinus	FJ160949;tax=k:Fungi,p:Zygomycota,o:Mucorales,f:Pilobolaceae,g:Pilobolus,s:Pilobolus crystallinus (97.9)	k:Fungi,p:Zygomycota,o:Mucorales,f:Pilobolaceae,g:Pilobolus,s:Pilobolus crystallinus	k:Fungi,p:Zygomycota,o:Mucorales,f:Pilobolaceae,g:Pilobolus,s:Pilobolus crystallinus
26	KP101211;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Sporormiella,s:Sporormiella minimoides	KP101211;tax=k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Sporormiella,s:Sporormiella minimoides (100.0)	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
27	JQ775581;k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Pezizaceae	JQ775581;tax=k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Pezizaceae (100.0)	k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Pezizaceae	k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Pezizaceae
28	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	HQ130704;tax=k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales (94.9)	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	k:Fungi
29	KU141390;k:Fungi	KU141390;tax=k:Fungi (100.0)	k:Fungi	k:Fungi
30	KF871453;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Sporormiella,s:Sporormiella megalospora	KF871453;tax=k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Sporormiella,s:Sporormiella megalospora (100.0)	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Sporormiella
31	FJ210539;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales,f:Davidiellaceae,g:Cladosporium	FJ210539;tax=k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales,f:Davidiellaceae,g:Cladosporium (100.0)	k:Fungi	k:Fungi,p:Ascomycota,c:Dothideomycetes
32	EF197084;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Podospora,s:Podospora pleiospora	EF197084;tax=k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Podospora,s:Podospora pleiospora (99.7)	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Podospora,s:Podospora pleiospora	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Podospora
33	FJ172238;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Leptosphaeriaceae,g:Leptosphaeria	FJ172238;tax=k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Leptosphaeriaceae,g:Leptosphaeria (100.0)	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Leptosphaeriaceae,g:Leptosphaeria	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Leptosphaeriaceae
34	KT235909;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Podospora	KT235909;tax=k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Podospora (100.0)	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae
35	UTAX;k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales	KJ173589;tax=k:Fungi (97.9)	k:Fungi	k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales
36	UTAX;k:Fungi,p:Ascomycota	FJ237140;tax=k:Fungi,p:Ascomycota,c:Dothideomycetes (87.6)	k:Fungi	k:Fungi,p:Ascomycota
37	EF555495;k:Fungi,p:Zygomycota,o:Mucorales,f:Mucoraceae,g:Pilaira,s:Pilaira anomala	EF555495;tax=k:Fungi,p:Zygomycota,o:Mucorales,f:Mucoraceae,g:Pilaira,s:Pilaira anomala (100.0)	k:Fungi,p:Zygomycota,o:Mucorales,f:Mucoraceae,g:Pilaira,s:Pilaira anomala	k:Fungi,p:Zygomycota,o:Mucorales,f:Mucoraceae,g:Pilaira
38	EU437434;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Microascales,f:Microascaceae	EU437434;tax=k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Microascales,f:Microascaceae (100.0)	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Microascales,f:Microascaceae	k:Fungi,p:Ascomycota
39	AM924166;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Sporormiella,s:Sporormiella australis	AM924166;tax=k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Sporormiella,s:Sporormiella australis (100.0)	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae
40	GQ999406;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Agaricaceae,g:Coprinus	GQ999406;tax=k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Agaricaceae,g:Coprinus (100.0)	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Agaricaceae
41	SINTAX;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae,g:Parasola	JN943135;tax=k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae,g:Parasola (96.9)	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae,g:Parasola	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae
43	AF229480;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae,g:Alternaria,s:Alternaria infectoria	AF229480;tax=k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae,g:Alternaria,s:Alternaria infectoria (100.0)	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae,g:Alternaria	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae
44	EU770235;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Montagnulaceae,g:Paraphaeosphaeria,s:Paraphaeosphaeria neglecta	EU770235;tax=k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Montagnulaceae,g:Paraphaeosphaeria,s:Paraphaeosphaeria neglecta (100.0)	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Montagnulaceae	k:Fungi,p:Ascomycota,c:Dothideomycetes
46	AY498864;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,g:Candida,s:Candida vadensis	AY498864;tax=k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,g:Candida,s:Candida vadensis (98.9)	k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,g:Candida,s:Candida vadensis	k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,g:Candida,s:Candida vadensis
48	UTAX;k:Fungi,p:Ascomycota	HQ130704;tax=k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales (90.7)	k:Fungi	k:Fungi,p:Ascomycota
50	DQ317369;k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Pyronemataceae	DQ317369;tax=k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Pyronemataceae (99.0)	k:Fungi	k:Fungi,p:Ascomycota
51	AY681188;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Sordariaceae,g:Sordaria,s:Sordaria fimicola	AY681188;tax=k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Sordariaceae,g:Sordaria,s:Sordaria fimicola (100.0)	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Sordariaceae	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Sordariaceae
52	SINTAX;k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Ascobolaceae,g:Ascobolus,s:Ascobolus furfuraceus	AY372073;tax=k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Ascobolaceae,g:Ascobolus,s:Ascobolus furfuraceus (94.8)	k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Ascobolaceae,g:Ascobolus,s:Ascobolus furfuraceus	k:Fungi,p:Ascomycota,c:Pezizomycetes
53	UTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae	GQ153113;tax=k:Fungi,p:Ascomycota,c:Dothideomycetes (100.0)	k:Fungi,p:Ascomycota,c:Dothideomycetes	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae
54	JN159552;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae,g:Coprinellus,s:Coprinellus congregatus	JN159552;tax=k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae,g:Coprinellus,s:Coprinellus congregatus (100.0)	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae,g:Coprinellus,s:Coprinellus congregatus	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae
55	SINTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Fusarium,s:Fusarium redolens	FN397350;tax=k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Fusarium (100.0)	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Fusarium,s:Fusarium redolens	k:Fungi,p:Ascomycota,c:Sordariomycetes
56	UTAX;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae,g:Coprinellus	HQ389448;tax=k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales (99.7)	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae,g:Coprinellus
58	SINTAX;k:Fungi,p:Ascomycota	FJ440938;tax=k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Chaetomiaceae (91.4)	k:Fungi,p:Ascomycota	k:Fungi,p:Ascomycota
59	FN376417;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,f:Dipodascaceae,g:Dipodascus,s:Dipodascus geotrichum	FN376417;tax=k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,f:Dipodascaceae,g:Dipodascus,s:Dipodascus geotrichum (100.0)	k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,f:Dipodascaceae,g:Dipodascus,s:Dipodascus geotrichum	k:Fungi,p:Ascomycota,c:Saccharomycetes
60	SINTAX;k:Fungi	* (*)	k:Fungi	*
61	No Hit	JX010727;tax=k:Protista,p:Cercozoa (87.6)		k:Fungi
63	AY969719;k:Fungi,p:Ascomycota	AY969719;tax=k:Fungi,p:Ascomycota (100.0)	k:Fungi,p:Ascomycota	k:Fungi,p:Ascomycota
64	UTAX;k:Fungi,p:Ascomycota	KT219098;tax=k:Fungi (98.9)	k:Fungi	k:Fungi,p:Ascomycota
66	AB078501;k:Fungi,p:Basidiomycota,c:Cystobasidiomycetes,o:Cystobasidiales,f:Cystobasidiaceae,g:Cystobasidium	AB078501;tax=k:Fungi,p:Basidiomycota,c:Cystobasidiomycetes,o:Cystobasidiales,f:Cystobasidiaceae,g:Cystobasidium (100.0)	k:Fungi,p:Basidiomycota,c:Cystobasidiomycetes,o:Cystobasidiales,f:Cystobasidiaceae,g:Cystobasidium	k:Fungi,p:Basidiomycota,c:Cystobasidiomycetes,o:Cystobasidiales,f:Cystobasidiaceae,g:Cystobasidium
67	AY531684;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,g:Boeremia,s:Boeremia exigua	AY531684;tax=k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,g:Boeremia,s:Boeremia exigua (99.3)	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	k:Fungi,p:Ascomycota,c:Dothideomycetes
68	UTAX;k:Fungi,p:Ascomycota	JN890098;tax=k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Cladophialophora (88.8)	k:Fungi	k:Fungi,p:Ascomycota
69	GU055688;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae	GU055688;tax=k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae (99.7)	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae
70	SINTAX;k:Fungi,p:Neocallimastigomycota,c:Neocallimastigomycetes,o:Neocallimastigales,f:Neocallimastigaceae	KJ009350;tax=k:Fungi (83.7)	k:Fungi,p:Neocallimastigomycota,c:Neocallimastigomycetes,o:Neocallimastigales,f:Neocallimastigaceae	k:Fungi,p:Neocallimastigomycota
71	KF060281;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,g:Pilidium,s:Pilidium concavum	KF060281;tax=k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,g:Pilidium,s:Pilidium concavum (100.0)	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,g:Pilidium,s:Pilidium concavum	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales
73	SINTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales	AJ875343;tax=k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales (95.9)	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales	k:Fungi,p:Ascomycota
74	GU219466;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,g:Sarocladium,s:Sarocladium strictum	GU219466;tax=k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,g:Sarocladium,s:Sarocladium strictum (100.0)	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,g:Sarocladium,s:Sarocladium strictum	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales
76	FJ236000;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales	FJ236000;tax=k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales (100.0)	k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales	k:Fungi,p:Basidiomycota,c:Tremellomycetes
77	AM999691;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae	AM999691;tax=k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae (97.6)	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales
78	FJ571479;k:Fungi,p:Ascomycota,c:Sordariomycetes,f:Plectosphaerellaceae,g:Plectosphaerella	FJ571479;tax=k:Fungi,p:Ascomycota,c:Sordariomycetes,f:Plectosphaerellaceae,g:Plectosphaerella (100.0)	k:Fungi,p:Ascomycota,c:Sordariomycetes	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales
79	UTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae	KF735012;tax=k:Fungi (100.0)	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae
82	HF947051;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae	HF947051;tax=k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae (99.7)	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae
84	FN394721;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Leptosphaeriaceae,g:Leptosphaeria	FN394721;tax=k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Leptosphaeriaceae,g:Leptosphaeria (100.0)	k:Fungi,p:Ascomycota	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
85	SINTAX;k:Fungi,p:Zygomycota,o:Mucorales,f:Pilobolaceae,g:Pilobolus	HM049577;tax=k:Fungi,p:Zygomycota,o:Mucorales,f:Pilobolaceae,g:Pilobolus,s:Pilobolus kleinii (90.0)	k:Fungi,p:Zygomycota,o:Mucorales,f:Pilobolaceae,g:Pilobolus	k:Fungi,p:Zygomycota,o:Mucorales
86	SINTAX;k:Fungi,p:Ascomycota	EU514698;tax=k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Chaetothyriaceae,g:Cyphellophora,s:Cyphellophora europaea (91.8)	k:Fungi,p:Ascomycota	k:Fungi,p:Ascomycota
87	UTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes	KP899402;tax=k:Fungi,p:Ascomycota (100.0)	k:Fungi,p:Ascomycota	k:Fungi,p:Ascomycota,c:Dothideomycetes
