OUT	TaxonomyUsearch
174	AY147360;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Fusarium,s:Fusarium culmorum
175	UTAX;*
176	DQ166962;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Podospora,s:Podospora pyriformis
178	JN206101;k:Fungi,p:Mucoromycota,o:Mucorales,f:Mucoraceae,g:Pilaira,s:Pilaira anomala
179	JN114421;k:Fungi,p:Basidiomycota,c:Ustilaginomycetes,o:Urocystidales,f:Urocystidaceae,g:Urocystis,s:Urocystis agropyri
182	AJ006675;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Polyporales,f:Phanerochaetaceae,g:Antrodiella,s:Antrodiella semisupina
183	KP131893;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,g:Cryptococcus,s:Cryptococcus aureus
184	FN396101;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae,g:Coprinellus,s:Coprinellus sassii
185	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
186	UTAX;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales
193	UTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
194	SINTAX;k:Fungi
195	KJ655434;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Phaeosphaeriaceae
199	UTAX;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,g:Cryptococcus,s:Cryptococcus podzolicus
201	UTAX;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Filobasidiales,f:Filobasidiaceae,g:Filobasidium
205	SINTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes
206	SINTAX;k:Fungi
207	EU754969;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Leptosphaeriaceae
208	SINTAX;k:Fungi,p:Basidiomycota,c:Agaricomycetes
209	KU580264;k:Fungi,p:Ascomycota,c:Sordariomycetes,f:Plectosphaerellaceae,g:Lectera
210	SINTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae
214	GU055519;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Chaetomiaceae
215	SINTAX;k:Fungi
217	EU754937;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Chaetosphaeriales,f:Chaetosphaeriaceae
220	SINTAX;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Trichocomaceae,g:Penicillium
221	AF444671;k:Fungi,p:Basidiomycota,c:Agaricostilbomycetes,o:Agaricostilbales,f:Agaricostilbaceae,g:Bensingtonia
222	No Hit
225	AM922222;k:Fungi,p:Ascomycota,c:Sordariomycetes,f:Plectosphaerellaceae,g:Gibellulopsis,s:Gibellulopsis nigrescens
227	KP899400;k:Fungi,p:Ascomycota
229	SINTAX;k:Fungi,p:Basidiomycota,c:Tremellomycetes
230	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae
231	GQ302680;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Cordycipitaceae,g:Beauveria,s:Beauveria bassiana
232	SINTAX;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales
234	HQ649998;k:Fungi,p:Ascomycota,c:Lecanoromycetes,o:Ostropales
235	FN397426;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Preussia
236	UTAX;k:Fungi,p:Mucoromycota,o:Mucorales
238	SINTAX;k:Fungi,p:Mucoromycota,o:Mucorales,f:Pilobolaceae,g:Pilobolus,s:Pilobolus kleinii
239	KC339242;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
244	AF045879;k:Fungi,p:Basidiomycota,c:Microbotryomycetes,o:Microbotryales,f:Microbotryaceae,g:Microbotryum,s:Microbotryum kuehneanum
245	SINTAX;k:Fungi
246	SINTAX;k:Fungi,p:Ascomycota
247	SINTAX;k:Fungi,p:Basidiomycota,c:Cystobasidiomycetes
250	GU055684;k:Fungi,p:Basidiomycota,c:Tremellomycetes
251	AB520440;k:Fungi,p:Basidiomycota,c:Microbotryomycetes,o:Leucosporidiales,f:Leucosporidiaceae,g:Mastigobasidium
253	FJ590604;k:Fungi,p:Mucoromycota,o:Mucorales,f:Mucoraceae,g:Mucor,s:Mucor fragilis
255	SINTAX;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales
258	GU187526;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Russulales,f:Stephanosporaceae,g:Cristinia
260	GQ922553;k:Fungi,p:Ascomycota,c:Pezizomycetes
261	GU055712;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae
262	SINTAX;k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales
263	SINTAX;k:Fungi
264	HQ608016;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Chaetomiaceae,g:Humicola
265	SINTAX;k:Fungi
267	GQ922552;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Podospora,s:Podospora curvicolla
270	SINTAX;k:Fungi,p:Ascomycota,c:Taphrinomycetes,o:Taphrinales,f:Protomycetaceae,g:Protomyces
271	SINTAX;k:Fungi,p:Basidiomycota,c:Tremellomycetes
272	UTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
273	JF907837;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae,g:Coprinopsis,s:Coprinopsis candidolanata
275	HF947090;k:Fungi,p:Basidiomycota,c:Microbotryomycetes,o:Sporidiobolales
276	GQ922580;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Podospora
277	KT269238;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
278	SINTAX;k:Fungi
279	GQ203780;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Sporormiella,s:Sporormiella irregularis
281	SINTAX;k:Fungi,p:Basidiomycota
282	SINTAX;k:Fungi,p:Basidiomycota,c:Agaricostilbomycetes,o:Agaricostilbales
284	SINTAX;k:Fungi
286	EU266559;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,f:Bulleribasidiaceae,g:Vishniacozyma,s:Vishniacozyma dimennae
288	GU054323;k:Fungi,p:Basidiomycota,c:Microbotryomycetes,o:Sporidiobolales,g:Sporobolomyces
289	No Hit
292	FJ237108;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,g:Cadophora
293	JF461116;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae
294	AJ488276;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Cordycipitaceae,g:Cordyceps,s:Cordyceps memorabilis
296	UTAX;k:Fungi,p:Ascomycota
303	UTAX;k:Fungi,p:Ascomycota
304	HM126488;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae,g:Coprinopsis
306	GU055711;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae
307	SINTAX;k:Fungi,p:Basidiomycota,c:Microbotryomycetes,o:Microbotryales
310	AF444441;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,g:Bullera,s:Bullera unica
312	JF907839;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae,g:Parasola,s:Parasola hercules
313	KF573610;k:Fungi,p:Basidiomycota,c:Cystobasidiomycetes,o:Cystobasidiales,f:Cystobasidiaceae,g:Cystobasidium
314	SINTAX;k:Fungi
315	UTAX;k:Fungi,p:Ascomycota
316	SINTAX;k:Fungi,p:Neocallimastigomycota,c:Neocallimastigomycetes,o:Neocallimastigales,f:Neocallimastigaceae
317	KT270306;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Didymosphaeriaceae,g:Roussoella
319	No Hit
321	AY204623;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,g:Tetracladium,s:Tetracladium marchalianum
322	UTAX;k:Fungi,p:Basidiomycota,c:Agaricomycetes
323	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
324	SINTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes
325	FJ379802;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Trichocomaceae,g:Penicillium
327	KF636762;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Helotiaceae
329	UTAX;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales
331	GU327634;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae,g:Coprinopsis,s:Coprinopsis cinerea
332	SINTAX;k:Fungi,p:Neocallimastigomycota,c:Neocallimastigomycetes,o:Neocallimastigales,f:Neocallimastigaceae,g:Piromyces
333	KT270218;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Chaetomiaceae,g:Humicola
334	UTAX;*
335	KT264418;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Trichocomaceae,g:Penicillium
337	SINTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Podospora,s:Podospora longicaudata
338	JX235960;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Strophariaceae,g:Psilocybe,s:Psilocybe coprophila
340	KJ881370;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Trichocomaceae,g:Penicillium,s:Penicillium brevicompactum
346	SINTAX;k:Fungi
347	UTAX;k:Fungi,p:Ascomycota
348	SINTAX;k:Fungi
350	SINTAX;k:Fungi
351	FN386270;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Diaporthales,f:Gnomoniaceae,g:Ambarignomonia,s:Ambarignomonia petiolorum
352	JX000108;k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Ascobolaceae
353	SINTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Podospora,s:Podospora longicaudata
356	UTAX;k:Fungi,p:Ascomycota,c:Leotiomycetes
357	UTAX;k:Fungi,p:Ascomycota
359	FN397345;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Fusarium
361	SINTAX;k:Plantae
362	UTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
364	AY885687;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,g:Dioszegia,s:Dioszegia buhagiarii
367	GU212399;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Onygenales
369	SINTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Podospora,s:Podospora longicaudata
370	SINTAX;k:Fungi,p:Mucoromycota,o:Mucorales,f:Mucoraceae,g:Mucor,s:Mucor hiemalis
371	KF251183;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Phaeosphaeriaceae,g:Phaeosphaeria,s:Phaeosphaeria juncicola
375	GU721260;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,g:Stachybotrys
379	FN396152;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae,g:Coprinopsis,s:Coprinopsis patouillardii
380	SINTAX;k:Fungi,p:Basidiomycota
381	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
382	SINTAX;k:Fungi
383	HQ997376;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Trichocomaceae,g:Penicillium
385	UTAX;*
387	FJ473371;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,g:Naganishia,s:Naganishia cerealis
389	SINTAX;k:Fungi
390	SINTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales
394	AF210671;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Bionectriaceae,g:Stephanonectria,s:Stephanonectria keithii
395	AB746927;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Chaetomiaceae
396	SINTAX;k:Fungi
397	KJ817322;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Fusarium
398	KT269686;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
401	SINTAX;k:Fungi,p:Ascomycota
402	SINTAX;k:Protista
404	JF274487;k:Fungi,p:Neocallimastigomycota,c:Neocallimastigomycetes,o:Neocallimastigales,f:Neocallimastigaceae
405	EU480243;k:Fungi
407	FJ160947;k:Fungi,p:Mucoromycota,o:Mucorales,f:Pilobolaceae,g:Pilobolus,s:Pilobolus crystallinus
409	DQ206984;k:Fungi,p:Basidiomycota,c:Exobasidiomycetes,o:Entylomatales,f:Entylomataceae,g:Entyloma
